cty code,cty,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1103,AL: Morgan County,0,36.1,18.98,5.33,0,0,0,0,1.28,11.7,0,19.93,1.6,0,0,0,6.91,3.59,0,0,0,3.97,2.46,0,34.18,0.14,2.52,0,0,0
1105,AL: Perry County,0,0.41,6.16,1.99,0,0,0,0,0,7.85,0.04,2.9,10.35,0,0,0,1.42,10.65,0,0,0,0,0,0,4.84,8.34,46.44,0.9,0,0
1107,AL: Pickens County,0,5.67,13.31,5.58,0,0,0,0,1.87,12.98,0,10.52,7.99,0,0,0,8.82,5.6,0,0,0,0.01,0,0,13.65,1.54,22.04,0,0,0
1109,AL: Pike County,0,1.01,2.1,0.66,0,0,0,0,0,5.68,2.53,0,15.55,0,0,0,0,13.92,0,0.19,0,0,0,0,0.64,10.07,16.42,18.7,6.84,0
1111,AL: Randolph County,0,2.58,14.63,5.88,0,0,0,0,0,23.23,1.86,11.99,7.74,0,0,0,0.84,12.11,0,0,0,0,0,0,10.35,8.23,48.58,2.9,0,0
1113,AL: Russell County,0,1.56,4.46,0.86,0,0,0,0,0,11.3,4.88,0,9.09,0,0,0,0,15.38,0,0,0,0,0,0,1.02,7.54,21.92,17.39,3.78,0
1115,AL: St. Clair County,0,6.23,22.3,5.56,0,0,0,0,0.82,22.12,1.36,18.56,4.09,0,0,0,2.46,7.46,0,0,0,0.44,0.2,0,20.85,4.49,24.19,0,0,0
1117,AL: Shelby County,0,2.59,18.14,3.23,0,0,0,0,0.34,22.9,2.97,12.59,6.26,0,0,0,1.74,9.56,0,0,0,0,0,0,13.88,8.45,35.9,0,0,0
1119,AL: Sumter County,0,0.13,5.34,2.82,0,0,0,0,0.56,4.6,0.02,5.15,14.78,0,0,0,4.42,7.98,0,0,0,0,0,0,4.12,4.16,37.74,0.84,0,0
1121,AL: Talladega County,0,3.14,18.44,3.96,0,0,0,0,0.11,24.96,2.21,15.03,4.9,0,0,0,1.38,8.17,0,0,0,0,0,0,16,9.13,22.99,0,0,0
1123,AL: Tallapoosa County,0,1.83,10.96,2.94,0,0,0,0,0,22.93,3.23,6.65,6.23,0,0,0,0.41,13.19,0,0,0,0,0,0,8.81,11.68,42.8,4.62,0.34,0
1125,AL: Tuscaloosa County,0,4.01,15.66,3.9,0,0,0,0,1.57,12.25,0.03,9.72,8.39,0,0,0,5.43,8.23,0,0,0,0,0,0,12.97,3.68,29.26,0,0,0
1127,AL: Walker County,0,13.97,22.44,3.92,0,0,0,0,3.77,17.03,0,16.68,5.12,0,0,0,7.06,5.71,0,0,0,0.83,0.17,0,24.11,1.04,14.99,0,0,0
1129,AL: Washington County,0,0,0.72,0.43,0,0,0.05,0,1.09,0,0,1.72,24.14,0,0,0,0.3,10.82,0,0,0,0.01,0,0.49,1.03,3.07,10.91,13.94,2.54,0.01
1131,AL: Wilcox County,0,0,1.9,0.94,0,0,0,0,0,2.65,0,0.45,16.89,0,0,0,0,10.86,0,0,0,0,0,0,1.8,7.79,28.25,8.75,0.76,0
1133,AL: Winston County,0,31.96,20.27,4.67,0,0,0,0,3.66,14.48,0,18.31,2.93,0,0,0,9.31,3.86,0,0,0,2.93,1.13,0.03,31.86,0,6.05,0,0,0
2001,AZ: Apache County,0.2,4.85,1.02,0,0.01,0,0,0,0,0,0.53,2.13,1.43,0.29,0.15,6.92,3.48,0.48,0.12,1.46,3.17,12.79,3.25,1.3,2.28,0.14,1.08,0.18,0.05,0
2003,AZ: Cochise County,0,6.69,0.06,0,0,0,0.05,0,0,0,0,0,0,0,0,6.9,1.28,0.06,0,0.02,0,0,0.02,0,0,0,0,0,0,0
2005,AZ: Coconino County,2.56,15.13,2.39,0,0,0,0,0,0,0,3.25,1.81,0.21,0.03,1.29,12.28,1.05,0.03,0,2.19,4.35,23.6,4.66,3.53,0.63,0.03,0.23,0.02,0.02,1.85
2007,AZ: Gila County,0,20.08,1.33,0.04,0.01,0,0.01,0,0.01,0,0.02,0.01,0.01,0.01,0,21.72,2.25,0.18,0.07,0.03,0.29,17.78,8.84,2.22,1.33,0.01,0.16,0.03,0.06,0.01
2009,AZ: Graham County,0,8.16,0.56,0,0,0,0.03,0,0,0,0,0,0,0,0,10.19,1.87,0.17,0.13,0,0.24,1.83,2.36,0.27,0.55,0,0,0,0,0
2011,AZ: Greenlee County,0,6.49,1.48,0,0,0,0,0,0,0,0,0.02,0,0.04,0,8.48,3.2,0.87,0.46,0.04,1.05,2.23,2.88,0,1.27,0,0,0,0.16,0
2012,AZ: La Paz County,0.01,3.79,0,0,0,0,0,0,0,0,0,0,0,0,1.95,4.56,0,0,0,0,0,3.67,0,0,0,0,0,0,0,0.02
2013,AZ: Maricopa County,0.4,10.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0.65,8.83,0.05,0,0,0,0.22,4.5,1.1,0.31,0.02,0,0,0,0,0
2015,AZ: Mohave County,2.18,9.37,0.48,0,0,0,0,0,0,0,3.45,1.82,0.06,0.01,5.07,15.94,0,0,0,0.95,3.27,13.48,0.83,1.08,0.06,0,0.02,0,0,4.14
2017,AZ: Navajo County,0.68,8.75,0.99,0,0,0,0,0,0,0,0.7,1.16,0.56,0.07,0.06,6.85,2.41,0.07,0.03,1.6,2.14,17.74,4.88,2.24,1.59,0.19,0.44,0.02,0.01,0
2019,AZ: Pima County,1.34,6.91,0,0,0,0,0,0,0,0,0,0,0,0,0.4,3.02,0.53,0,0,0.01,0,0.05,0.2,0.03,0,0,0,0,0,0
2021,AZ: Pinal County,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0.32,7.33,0.32,0,0,0,0,0.99,1.19,0.23,0,0,0,0,0,0
2023,AZ: Santa Cruz County,0.35,8.94,0,0,0,0,0,0,0,0,0,0,0,0,0.11,4.31,1.72,0,0.01,0.1,0,0,0,0,0,0,0,0,0,0
2025,AZ: Yavapai County,1.31,18.02,0.43,0,0,0,0,0,0,0,3.03,0.05,0,0,2.03,18.1,0.23,0,0,0.12,4.2,26.91,2.58,2.32,0.52,0,0.02,0,0,0.8
2027,AZ: Yuma County,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,1.11,1.29,0,0,0,0,0,2.37,0,0,0,0,0,0,0,0
3001,AR: Arkansas County,0,45.18,33.49,1.53,0,0,0,0.83,12.3,18.12,0,13.77,0.2,0,0,0,25.48,0,0,0,0.21,3.02,0,0,32.3,0,0,0,0,0
3003,AR: Ashley County,0,8.53,22.45,0,0,0,0,0,4.33,10.11,0,27.88,1.05,0,0,0,27.63,0,0,0,0.05,0.36,0,0,14.16,0,4.26,0,0,0
3005,AR: Baxter County,0,0.7,77.27,7.42,0,0,0.01,10.83,2.47,5.54,0.01,2.74,0,0,0,0,16.08,0,0,0,1.56,8.53,0,26.02,51.37,0,0.01,0,0,0
3007,AR: Benton County,0,0,54.43,4.5,0,0,0,11.9,0.54,5.94,0.25,0.75,0,0,0,0,14.19,0,0,0,0.2,7.11,0,45.74,22.56,0,0,0,0,0
3009,AR: Boone County,0,0,73.48,6.16,0,0,0,13.01,0.99,8.84,0.16,1.82,0,0,0,0,12.88,0,0,0,0,5.95,0,36.18,43.29,0,0.12,0,0,0
3011,AR: Bradley County,0,16.62,26.76,0,0,0,0,0.14,9.48,13.57,0,29.88,0,0,0,0,27.18,0,0,0,0.14,0.55,0,0,18.58,0,0.85,0,0,0
3013,AR: Calhoun County,0,16.38,26.28,0,0,0,0,0,13.44,14.67,0,28.39,0,0,0,0,27.41,0,0,0,0.07,0.61,0,0,20.92,0,0,0,0,0
3015,AR: Carroll County,0,0,68.46,5.67,0,0,0,13.34,0.47,8.36,0.65,1.29,0,0,0,0,12.93,0,0,0,0,5.62,0,44.49,33.62,0,0,0,0,0
3017,AR: Chicot County,0,9.4,19.43,0,0,0,0,0,4.62,9.62,0,26.15,0.49,0,0,0,24.92,0,0,0,0.08,0.62,0,0,15.28,0,4.56,0,0,0
3019,AR: Clark County,0,23.18,27.6,0.3,0,0,0,2.78,22.26,19.21,0,17.04,0,0,0,0,37.35,0,0,0,0,3.15,0.05,0.18,35.06,0,0,0,0,0
3021,AR: Clay County,0.06,4.98,66.12,5.04,0,0,0,2.37,2.77,3.82,0.02,6.11,0,0,0,0.04,25.08,0,0,0,0.94,17.05,0.22,20.89,36.94,0,0,0,0,0
3023,AR: Cleburne County,0,13.37,72.75,6.13,0,0,0,5.07,7.71,11,0,7.36,0,0,0,0,29.57,0,0,0,0.7,12.71,0,14.98,47.78,0,0,0,0,0
3025,AR: Cleveland County,0,31.62,29.68,0,0,0,0,0.14,15.41,17.09,0,22.22,0,0,0,0,28.5,0,0,0,0.23,1.05,0,0,25.3,0,0,0,0,0
3027,AR: Columbia County,0,6.85,23.11,0,0,0,0,0,8.6,18.04,0,19.88,0,0,0,0,23.67,0,0,0,0,0.35,0,0.03,17.35,0,0,0,0,0
3029,AR: Conway County,0,12.19,77.08,4.49,0,0,0,2.47,5.25,18.59,0,4.31,0,0,0,0,31.32,0,0,0,0.37,12.72,0,20.04,46.06,0,0,0,0,0
3031,AR: Craighead County,0,15.67,60.75,5.36,0,0,0,2.9,7.24,6.06,0,10.25,0,0,0,0,28.21,0,0,0,1.49,17.17,0.28,13.66,44.75,0,0,0,0,0
3033,AR: Crawford County,0,0.05,55.57,2.86,0,0,0,9.5,3.57,16.71,0.01,1.59,0,0,0,0,25.8,0,0,0,0,9.81,0,20.68,39.27,0,0,0,0,0
3035,AR: Crittenden County,0,42.21,35.57,6.56,0.01,0,0,0.37,12.73,12.83,0,11.55,0,0,0,0,27.68,0,0,0,0.09,15.85,0.72,2.04,45.82,0.01,0,0.07,0,0
3037,AR: Cross County,0,33.36,53.24,4.9,0,0,0,1.9,11.8,9.78,0,13.02,0,0,0,0,28.77,0,0,0,0.95,13.43,0.03,6.53,44.55,0,0,0,0,0
3039,AR: Dallas County,0,27.01,28.36,0,0,0,0,0.2,18.01,17.74,0,20.12,0,0,0,0,32.89,0,0,0,0.06,1.62,0,0,29.13,0,0,0,0,0
3041,AR: Desha County,0,29.06,25.81,0.39,0,0,0,0.67,9.26,14.3,0,22.18,0,0,0,0,22.63,0,0,0,0.28,1.93,0,0,25.46,0,0.62,0,0,0
3043,AR: Drew County,0,21.6,26.59,0,0,0,0,2.26,8.87,13.72,0,25.57,0,0,0,0,26.44,0,0,0,0.24,0.88,0,0,20.01,0,0.96,0,0,0
3045,AR: Faulkner County,0,20.69,68.63,4.36,0,0,0,1.78,7.31,16.09,0,7.36,0,0,0,0,33.58,0,0,0,0.53,8.76,0,10.13,44.02,0,0,0,0,0
3047,AR: Franklin County,0,0.57,62.81,3.51,0,0,0,7.96,2.97,19.58,0.06,1.81,0,0,0,0,27.35,0,0,0,0,10.39,0,22.77,43.28,0,0,0,0,0
3049,AR: Fulton County,0,0.47,71.99,8.34,0.06,0,0,9.74,3.32,6.59,0,4.49,0,0,0,0,22.13,0,0,0,0.33,17.71,0,21.12,50.76,0,0,0,0,0
3051,AR: Garland County,0,22.4,45.26,2.9,0,0,0,2.12,12.41,24.11,0,10.79,0,0,0,0,39.5,0,0,0,0,5.85,0.05,4.23,46.87,0,0,0,0,0
3053,AR: Grant County,0,38.84,32.87,0.73,0,0,0,0.01,15.99,19.74,0,15.42,0,0,0,0,36.27,0,0,0,0.16,2.48,0,0,33.91,0,0,0,0,0
3055,AR: Greene County,0,8.98,64.73,5.21,0,0,0,2.93,4.73,4.65,0,8.11,0,0,0,0,26.64,0,0,0,1.51,17,0.21,18.28,40.71,0,0,0,0,0
3057,AR: Hempstead County,0,15.19,24.78,0,0,0,0,4.48,21.7,14.99,0,14.13,0,0,0,0,28.97,0,0,0,0,1.42,0.37,0,29.16,0,0,0,0,0
3059,AR: Hot Spring County,0,28.26,32.48,1.58,0,0,0,1.9,16.6,22.08,0,14.36,0,0,0,0,41.33,0,0,0,0,4.29,0,0.76,39.78,0,0,0,0,0
3061,AR: Howard County,0,15.49,28.86,0.58,0,0,0,7.27,25.74,16.68,0,17,0,0,0,0,33.84,0,0,0,0,4.8,0.23,1.14,41.54,0,0,0,0,0
3063,AR: Independence County,0,11.55,70.76,6.09,0,0,0,6.69,9.56,6.76,0,8.79,0,0,0,0,28.09,0,0,0,0.93,12.6,0.01,15.13,46.71,0,0,0,0,0
3065,AR: Izard County,0,3.13,75.44,7.9,0,0,0,8.69,5.13,7.01,0,5.23,0,0,0,0,22.01,0,0,0,0.64,14.33,0,17.75,51.24,0,0,0,0,0
3067,AR: Jackson County,0,18.5,68.18,4.81,0,0,0,4.3,9.81,5.76,0.02,12,0,0,0,0,29.73,0,0,0,1.43,12.24,0,13.02,43.21,0.02,0,0,0,0
3069,AR: Jefferson County,0,43.02,35.17,0.5,0,0,0,0.39,16.09,18.69,0,15.32,0,0,0,0,30.54,0,0,0,0.25,2.15,0,0,31.04,0,0,0,0,0
